"Question","Answer"
"¿Qué es y cómo se conforma el código de adhesión?","El código de adhesión es un número único para cada póliza de un cliente, compuesto por 15 dígitos.

¿Para qué me sirve?
Nos permite gestionar la suscripción al débito automático en las distintas entidades de cobro.
Es necesario para efectuar pagos online en tu institución financiera de confianza.
Te permite efectuar el registro en el Portal del Cliente: Mi BSE. 
¿Dónde lo encuentro?
 Puedes encontrar tu código de adhesión en cualquier factura impresa o digital | Ver Imagen"
"¿Puedo pagar mi factura pendiente adherida al débito automático con talón invalidado, a través de pagos online o redes de cobranza?","Luego de corroborar que el débito no se realizará, puede pagar hasta el vencimiento de la factura por los siguientes medios online:

A través de Mi BSE hasta el mismo día que se anula.
Banco Repúblia
Banred
VisaNet   
También podes abonar los seguros en oficinas del BSE de todo el País y en Redes de Cobranza:

Abitab (con CI o RUT)
Red Pagos (con CI o RUT)"
"¿Debo informar mi nuevo número de tarjeta de crédito una vez que se renueva?","Sugerimos informar el cambio de tarjeta para evitar futuros inconvenientes.

Esta actualización puede gestionarla con su Asesor de confianza o en nuestras oficinas de todo el país."
"¿Por qué motivo rechazaron el pago de mi póliza?","En general la causa de los rechazos de tarjetas de crédito, son por falta de saldo disponible, por lo que sugerimos controlar su estado de cuenta. 

Si considera que el rechazo pueda ser por otros motivos, comuníquese con la entidad financiera que emitió su tarjeta, su Asesor de seguros o con el sector Débitos Automáticos:

 debitosautomaticos@bse.com.uy
 Teléfono: 1998 - Opción 9 - Internos: 1663 y 1653."
"¿En qué fechas se envían a debitar a las entidades financieras, las facturas pendientes?","Las facturas pendientes y adheridas al débito automático de tarjetas de crédito, se envían los 5 y/o 19 de cada mes, el día de primer vencimiento o pasado este, nunca antes.

En el caso de los débitos bancarios, se envían los 12 y/o 26 de cada mes, el día de primer vencimiento o pasado este, nunca antes.

En cada una de esas fechas, las entidades financieras tienen un plazo de 48 hs  para realizar el débito en la cuenta bancaria o tarjeta de crédito del cliente. En caso de rechazo se envía un correo electrónico al Asegurado y al Asesor avisando del rechazo y dando instrucciones a seguir.

Los seguros de Accidentes del Trabajo se cobran el primer día hábil del mes de vencimiento de la factura, tanto en tarjetas de crédito como en cuentas bancarias. También enviamos correo avisando del rechazo a Asegurados y Asesores.  "
"¿Qué es un siniestro?","Es el evento en el que participa el vehículo asegurado, que genera daños o pérdidas al cliente o a terceros."
"Deducible | ¿Qué es? ¿Siempre corresponde pagarlo?","El deducible es el monto que corre por cuenta del asegurado en caso de reparar su vehículo por daño propio, según se establece en el artículo 60 de las Condiciones Generales de la Póliza.

El BSE podrá liberarle del pago del deducible en caso de dictaminarse que la responsabilidad recae sobre un tercero y además sea posible gestionar el reclamo contra un éste.  "
"¿Qué es daño propio?","Son los daños que puede sufrir el vehículo asegurado por motivos accidentales a consecuencia de varios factores a los que está expuesto, tanto en circulación como detenido. 

Los más comunes son:

Choque con otros vehículos

Choque con otros objetos
Vuelco o despeñamiento
Hurto total o parcial
Incendio total o parcial
Caída de árboles
Granizo
Inmersión
Para más información, consulta las Condiciones Generales de la Póliza, artículo 32.    "
"¿Qué cubre el plan que tengo contratado?","Los planes más comunes son: 

SOA
Es un seguro creado por la Ley No 18.412 obligatorio para todos los vehículos automotores y remolcados. Cubre las lesiones personales o muerte causada a un tercero en un accidente, por el vehículo asegurado.

BÁSICO
Seguro de Responsabilidad Civil por lesiones personales, fallecimiento y daños a bienes de terceros.

DOBLE
Incluye una cobertura de responsabilidad civil mayor que la ofrecida en el Plan Básico, cubriendo además el incendio total o parcial del vehículo.

TRIPLE
Ampara los riesgos cubiertos por el plan Doble, adicionando la cobertura por el hurto total o parcial del vehículo asegurado, y el deterioro que sufra el vehículo mientras se encuentre en poder de los delincuentes.

GLOBAL
Es el plan más completo que ofrece el BSE. Cubre daño propio, hurto, incendio y responsabilidad civil. 

Opción adicional Global Extra: en caso de inmovilidad del vehículo a causa de un siniestro, obtiene una indemnización adicional por día, que le permitirá afrontar sus gastos de traslado."
"¿Qué función cumple el Corredor o Asesor de seguros?","Es quien, en caso de siniestro te asesorará a lo largo del trámite con información clara, veraz, y suficiente.

Si no tenes los datos de tu Asesor podes obtenerlo llamando al teléfono 1998. "
"¿Qué es una póliza de seguro?","Es un contrato que contiene derechos y obligaciones del cliente y del BSE.

Al contratarlo, el cliente elije la cobertura que más se ajuste a sus necesidades."
"¿Cuándo cobro?","Para conocer la fecha de cobro, del primer pago, puede enviar un sms al 1998 con el texto “cobro CI” (sin puntos, ni guión, y un espacio entre cobro y CI.

Ejemplo: cobro 12345678
En caso de recibir el mensaje “Ud no tiene pagos pendientes”, puede volver a consultar periódicamente.

A partir del segundo pago y mientras continúe la asistencia médica, se acreditarán automáticamente cada 15 días en las redes de cobranza, por dígito verificador según calendario de pago.

Ver | CALENDARIO DE COBRANZA EN REDES DE PAGO

Ante cualquier duda o consulta, puede comunicarse telefónicamente al 1998 opción 2."
"¿Dónde cobro?","En oficinas de Abitab, Red Pagos o el Correo Uruguayo con su C.I., indicando que es cobro del Banco de Seguros del Estado."
"¿Cómo hago para gestionar el pago cuando tengo más de un trabajo?","La empresa debe enviar un mail a reclamosadt@bse.com.uy o el paciente debe ingresar a través de la Sucursal o Agencia más cercana, una carta del segundo trabajo membretada, sellada o incluir fotocopia de CI de la persona que firma la misma.

La carta debe indicar:

Nombre, Apellido y CI del accidentado
N° RUT del segundo trabajo (donde NO se accidentó)
N° carpeta de seguro de Accidentes del trabajo
Último día trabajado en dicho lugar
Suma de salarios nominal mensual, percibidos en los 6 meses anteriores al mes de accidente, discriminado por rubro.
Debe realizar este procedimiento para cada trabajo que tenga aparte del lugar donde se accidentó."
"¿Qué hacer en caso de una reapertura o levantamiento de alta franquicia?","En los casos de reapertura, abandono o alta franquicia, el empleador deberá completar el formulario de reapertura (form.1010) indicando el último día trabajado con firma y sello de la empresa.

Formulario de reapertura | Descargar

El mismo se entregará en la Sucursal o Agencia más cercana o se enviará vía mail a: reclamosadt@bse.com.uy desde una casilla corporativa o desde la misma que se hizo la denuncia patronal."
"¿Qué hacer cuando tengo el alta médica?","Cuando el centro médico que le brinda la asistencia, le otorga el alta, deberá presentar inmediatamente una copia en la Sucursal o Agencia más cercana y otra copia a su empleador."
"¿Cuánto demora el trámite?","Una vez que haya terminado el trámite en su AFAP y la información haya sido enviada por la misma al BSE, la duración de la liquidación es de 30 días hábiles aproximadamente. Cuando el pago esté pronto recibirá una comunicación automática indicándole que ya puede cobrar."
"¿Dónde cobro el primer pago?","Por defecto el primer pago se realiza a través de Red Pagos o Abitab con su documento de identidad. Deberá solicitarlo como “Cobro de Renta AFAP del Banco de Seguros”.

Si desea que el primer pago sea depositado deberá entregar el cabezal de cuenta que emite el Banco a su AFAP al iniciar el trámite o posteriormente enviarlo a afap@bse.com.uy "
"¿Cómo son los pagos mensuales?","La mensualidad de su Renta de AFAP será abonada conjuntamente con su pasividad del Banco de Previsión Social. El detalle mensual de su cobro aparecerá en la primera línea del recibo que emite BPS. Si desea obtener un recibo solo del tramo AFAP puede solicitarlo al mail afap@bse.com.uy

  En caso que su jubilación sea solo por el tramo AFAP deberá asegurarse de vincular su cuenta bancaria a Prestaciones BPS."
"¿Cómo obtengo el detalle de mi renta?","Si tiene correo electrónico la liquidación del primer pago se enviará de forma automática en cuanto el pago esté pronto. De lo contrario, puede solicitarlo al mail afap@bse.com.uy"
"¿Qué impuestos están gravados en la renta?","En todas las rentas se descuenta Fonasa.

Los subsidios transitorios están gravados además por Montepío y Fondo de Reconversión Laboral (FRL). Las jubilaciones y pensiones podrán tener descuento de IASS en caso de corresponder.  "
"Declaración de IASS y Formulario 3800","Para realizar la Declaración Jurada en DGI deberá solicitarla por mail a afap@bse.com.uy

Si desea entregar el Formulario 3800 para habilitar las retenciones de IASS en su renta puede hacerlo de forma presencial o enviarlo escaneado junto a la copia de su cédula al mail indicado anteriormente.   "
"Préstamos de Rentas AFAP","Actualmente todos los rentistas menores de 80 años que cobren una jubilación por AFAP están habilitados a solicitar un préstamo sobre su renta. El mismo se tramita únicamente a través del chat de WhatsApp 098611998. Las consultas se deben realizar al mail GestiondePrestamos@bse.com.uy o llamando al 1998 opción 9 interno 7200."
